Shazam Top 200 Dance
"Monday, 14 November 2022 [performance over the past 7 days]"
Rank,Artist,Title
112,"ATB, Topic & A7S","Your Love (9PM)"
113,"Njelic & Thabza Tee","Down The Drain"
114,"Purple Disco Machine & Sophie and the Giants","Hypnotized"
115,"Guru Josh Project","Infinity 2008 (Klaas Vocal Edit)"
116,"Eric Prydz","Opus"
117,"The Chainsmokers","Closer (feat. Halsey)"
118,"Dj Quba & Sandra K","Eins Zwei Polizei"
119,"Aziza Qobilova","Ya La La"
120,"Ahzee","Go Gyal (Radio Edit)"
121,"Topic & A7S","Breaking Me"
122,"Lost Frequencies & James Arthur","Questions"
123,"Willy William","Trompeta"
124,"Calvin Harris & Rihanna","This Is What You Came For"
125,"YouNotUs & Louis III","Samba"
126,"Marshmello & Bastille","Happier"
127,"Eugenio Taicuz","Tataki"
128,"Öwnboss & FAST BOY","Left & Right"
129,"O-Zone","Dragostea Din Tei (Original Romanian Version)"
130,"Alesso & Zara Larsson","Words"
131,"Idris Elba","Biggest"
132,"Hannah Wants","Cure My Desire (feat. Clementine Douglas)"
133,"C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now)"
134,"Malthusian Lazers","Smokey Light"
135,"Haska & Timmy687","Madan (Siren Jam)"
136,"David Guetta, Bebe Rexha & J Balvin","Say My Name"
137,"Mr. President","Coco Jamboo"
138,"Luude & Mattafix","Big City Life"
139,"Daft Punk","Around the World"
140,"Michael Gray","The Weekend (Radio Edit)"
141,"Tinlicker & Helsloot","Because You Move Me"
142,"Calvin Harris","Outside (feat. Ellie Goulding)"
143,"DBN Gogo, TNK MusiQ & Dj Stopper","Bells (feat. Eltonk SA)"
144,"The Sugarhill Gang","Rapper's Delight"
145,"Sam Deep & MaWhoo","Thokoza"
146,"Daft Punk","One More Time"
147,"Campbell","Beat Goes On (Rhythm to the Brain)"
148,"Darude","Sandstorm"
149,"Uncle Waffles & Tony Duardo","Tanzania (feat. Sino Msolo & BoiBizza)"
150,"Dynoro & Gigi D'Agostino","In My Mind"
151,"Wanitwa Mos, Master KG & Lowsheen","Sofa Silahlane (feat. Nkosazana Daughter)"
152,"Gabry Ponte, Conor Maynard & jayover","Another Night"
153,"Scatman John","Scatman (Ski-Ba-Bop-Ba-Dop-Bop) [Basic-Radio]"
154,"Joel Corry","Head & Heart (feat. MNEK)"
155,"Clean Bandit","Solo (feat. Demi Lovato)"
156,"Prezioso & Harris & Ford","Halo (feat. SHIBUI)"
157,"Cartoon","On & On (feat. Daniel Levi)"
158,"Clean Bandit","Symphony (feat. Zara Larsson)"
159,"Serhat Durmus","Gesi Bağları"
160,"Calvin Harris","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
161,"Calvin Harris","Feel So Close (Instrumental)"
162,"Martin Garrix","Animals"
163,"Joel Corry & Becky Hill","HISTORY"
164,"Jason Derulo & Shouse","Never Let You Go"
165,"ATB","9 P.M. (Till I Come)"
166,"Matt Simons","Catch & Release (Deepend Remix)"
167,"Toby Romeo & Leony","Crazy Love"
168,"Minelli","Rampampam"
169,"Patrick Hernandez","Born to Be Alive (Mix 79)"
170,"RÜFÜS DU SOL","Innerbloom"
171,"Deorro & Chris Brown","Five More Hours"
172,"Gustavo Bravetti","Babel"
173,"Kygo","Firestone (feat. Conrad Sewell)"
174,"Serena","Safari"
175,"DJ Snake","Middle (feat. Bipolar Sunshine)"
176,"MONSS","FLUTE"
177,"Fly Project","Toca Toca (Radio Edit)"
178,"Cerrone","Supernature"
179,"DJ Snake & Lil Jon","Turn Down for What"
180,"Dennis Ferrer","Hey Hey"
181,"Becky Hill & David Guetta","Remember"
182,"Mosimann","Dancing On My Own"
183,"Meduza, Becky Hill & Goodboys","Lose Control"
184,"Zakes Bantwini & Kasango","Osama"
185,"Schak","Moving All Around (Jumpin') [feat. Kim English]"
186,"Cascada","Everytime We Touch"
187,"Charly Black","Gyal You a Party Animal"
188,"Meduza & Goodboys","Piece Of Your Heart"
189,"Senior Oat","All In You (feat. Kemy Chienda)"
190,"Real McCoy","Another Night"
191,"Alan Walker, Sabrina Carpenter & Farruko","On My Way"
192,"Jordan Burns","Weekend"
193,"Inna","Hot"
194,"BRED","Give It To Me Remix (Extended Mix)"
195,"Calvin Harris","Summer"
196,"David Guetta & Benny Benassi","Satisfaction"
197,"Regard & Years & Years","Hallucination"
198,"David Guetta","When Love Takes Over (feat. Kelly Rowland) [Mixed]"
199,"Sam Deep & Playgal","Kusezo Khanya (feat. De Mthuda, Babalwa M & Sipho Magudulela)"
200,"Rebzyyx","all I want is you (feat. hoshie star)"
